STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,DAY_WEEK,ST_CASE
1.0000,71.0000,1.0000,6.0000,78.0000,23.0000,35.0000,6.0000,10001.0000
1.0000,23.0000,1.0000,1.0000,78.0000,2.0000,40.0000,1.0000,10002.0000
1.0000,73.0000,1.0000,8.0000,78.0000,1.0000,50.0000,1.0000,10003.0000
1.0000,21.0000,1.0000,7.0000,78.0000,12.0000,45.0000,7.0000,10004.0000
1.0000,37.0000,1.0000,1.0000,78.0000,2.0000,15.0000,1.0000,10005.0000
1.0000,71.0000,1.0000,9.0000,78.0000,16.0000,50.0000,2.0000,10006.0000
1.0000,9.0000,1.0000,6.0000,78.0000,5.0000,30.0000,6.0000,10007.0000
1.0000,31.0000,1.0000,6.0000,78.0000,5.0000,40.0000,6.0000,10008.0000
1.0000,97.0000,1.0000,9.0000,78.0000,0.0000,49.0000,2.0000,10009.0000
1.0000,39.0000,1.0000,8.0000,78.0000,3.0000,0.0000,1.0000,10010.0000
1.0000,75.0000,1.0000,10.0000,78.0000,20.0000,45.0000,3.0000,10011.0000
1.0000,97.0000,1.0000,11.0000,78.0000,12.0000,10.0000,4.0000,10012.0000
1.0000,73.0000,1.0000,12.0000,78.0000,8.0000,20.0000,5.0000,10013.0000
1.0000,101.0000,1.0000,18.0000,78.0000,23.0000,39.0000,4.0000,10014.0000
1.0000,101.0000,1.0000,21.0000,78.0000,14.0000,15.0000,7.0000,10015.0000
1.0000,89.0000,1.0000,15.0000,78.0000,19.0000,15.0000,1.0000,10016.0000
1.0000,73.0000,1.0000,6.0000,78.0000,16.0000,20.0000,6.0000,10017.0000
1.0000,63.0000,1.0000,12.0000,78.0000,7.0000,25.0000,5.0000,10018.0000
1.0000,81.0000,1.0000,12.0000,78.0000,20.0000,57.0000,5.0000,10019.0000
1.0000,101.0000,1.0000,14.0000,78.0000,21.0000,0.0000,7.0000,10020.0000
1.0000,49.0000,1.0000,8.0000,78.0000,23.0000,15.0000,1.0000,10021.0000
1.0000,69.0000,1.0000,13.0000,78.0000,17.0000,19.0000,6.0000,10022.0000
1.0000,73.0000,1.0000,21.0000,78.0000,22.0000,9.0000,7.0000,10023.0000
1.0000,73.0000,1.0000,25.0000,78.0000,10.0000,3.0000,4.0000,10024.0000
1.0000,69.0000,1.0000,20.0000,78.0000,11.0000,25.0000,6.0000,10025.0000
1.0000,121.0000,1.0000,24.0000,78.0000,10.0000,54.0000,3.0000,10026.0000
1.0000,93.0000,1.0000,23.0000,78.0000,9.0000,30.0000,2.0000,10027.0000
1.0000,91.0000,1.0000,19.0000,78.0000,11.0000,0.0000,5.0000,10028.0000
1.0000,73.0000,1.0000,24.0000,78.0000,2.0000,0.0000,3.0000,10029.0000
1.0000,33.0000,1.0000,21.0000,78.0000,14.0000,30.0000,7.0000,10030.0000
1.0000,47.0000,1.0000,17.0000,78.0000,0.0000,10.0000,3.0000,10031.0000
1.0000,73.0000,1.0000,26.0000,78.0000,4.0000,23.0000,5.0000,10032.0000
1.0000,71.0000,1.0000,22.0000,78.0000,0.0000,30.0000,1.0000,10033.0000
1.0000,97.0000,1.0000,28.0000,78.0000,5.0000,10.0000,7.0000,10034.0000
1.0000,73.0000,1.0000,18.0000,78.0000,7.0000,5.0000,4.0000,10035.0000
1.0000,97.0000,1.0000,27.0000,78.0000,9.0000,35.0000,6.0000,10036.0000
1.0000,109.0000,1.0000,29.0000,78.0000,0.0000,10.0000,1.0000,10037.0000
1.0000,113.0000,1.0000,2.0000,78.0000,17.0000,55.0000,2.0000,10038.0000
1.0000,13.0000,1.0000,28.0000,78.0000,15.0000,45.0000,7.0000,10039.0000
1.0000,51.0000,1.0000,13.0000,78.0000,17.0000,45.0000,6.0000,10040.0000
1.0000,73.0000,1.0000,6.0000,78.0000,18.0000,35.0000,6.0000,10041.0000
1.0000,15.0000,1.0000,30.0000,78.0000,22.0000,0.0000,2.0000,10042.0000
1.0000,15.0000,1.0000,27.0000,78.0000,0.0000,40.0000,6.0000,10043.0000
1.0000,21.0000,1.0000,28.0000,78.0000,1.0000,30.0000,7.0000,10044.0000
1.0000,107.0000,1.0000,19.0000,78.0000,3.0000,30.0000,5.0000,10045.0000
1.0000,129.0000,1.0000,25.0000,78.0000,6.0000,40.0000,4.0000,10046.0000
1.0000,73.0000,1.0000,23.0000,78.0000,15.0000,0.0000,2.0000,10047.0000
1.0000,51.0000,1.0000,28.0000,78.0000,19.0000,20.0000,7.0000,10048.0000
1.0000,89.0000,1.0000,19.0000,78.0000,5.0000,0.0000,5.0000,10049.0000
1.0000,69.0000,2.0000,1.0000,78.0000,11.0000,35.0000,4.0000,10050.0000
1.0000,35.0000,2.0000,8.0000,78.0000,13.0000,10.0000,4.0000,10051.0000
1.0000,89.0000,2.0000,4.0000,78.0000,22.0000,30.0000,7.0000,10052.0000
1.0000,71.0000,2.0000,6.0000,78.0000,14.0000,20.0000,2.0000,10053.0000
1.0000,101.0000,2.0000,5.0000,78.0000,2.0000,45.0000,1.0000,10054.0000
1.0000,65.0000,2.0000,1.0000,78.0000,14.0000,55.0000,4.0000,10055.0000
1.0000,73.0000,2.0000,11.0000,78.0000,6.0000,15.0000,7.0000,10056.0000
1.0000,69.0000,2.0000,9.0000,78.0000,17.0000,45.0000,5.0000,10057.0000
1.0000,45.0000,2.0000,9.0000,78.0000,18.0000,58.0000,5.0000,10058.0000
1.0000,25.0000,2.0000,6.0000,78.0000,10.0000,19.0000,2.0000,10059.0000
1.0000,77.0000,2.0000,4.0000,78.0000,1.0000,10.0000,7.0000,10060.0000
1.0000,9.0000,2.0000,12.0000,78.0000,13.0000,10.0000,1.0000,10061.0000
1.0000,13.0000,2.0000,13.0000,78.0000,20.0000,45.0000,2.0000,10062.0000
1.0000,97.0000,2.0000,14.0000,78.0000,19.0000,5.0000,3.0000,10063.0000
1.0000,47.0000,2.0000,9.0000,78.0000,20.0000,40.0000,5.0000,10064.0000
1.0000,69.0000,2.0000,12.0000,78.0000,10.0000,39.0000,1.0000,10065.0000
1.0000,31.0000,2.0000,4.0000,78.0000,18.0000,45.0000,7.0000,10067.0000
1.0000,73.0000,2.0000,13.0000,78.0000,19.0000,27.0000,2.0000,10068.0000
1.0000,95.0000,2.0000,10.0000,78.0000,20.0000,50.0000,6.0000,10069.0000
1.0000,121.0000,2.0000,12.0000,78.0000,6.0000,20.0000,1.0000,10070.0000
1.0000,123.0000,2.0000,10.0000,78.0000,22.0000,58.0000,6.0000,10071.0000
1.0000,35.0000,2.0000,13.0000,78.0000,14.0000,10.0000,2.0000,10072.0000
1.0000,89.0000,2.0000,14.0000,78.0000,18.0000,30.0000,3.0000,10073.0000
1.0000,77.0000,2.0000,16.0000,78.0000,0.0000,42.0000,5.0000,10074.0000
1.0000,79.0000,2.0000,10.0000,78.0000,10.0000,30.0000,6.0000,10075.0000
1.0000,95.0000,2.0000,13.0000,78.0000,19.0000,15.0000,2.0000,10076.0000
1.0000,45.0000,2.0000,12.0000,78.0000,18.0000,5.0000,1.0000,10077.0000
1.0000,69.0000,2.0000,8.0000,78.0000,17.0000,9.0000,4.0000,10078.0000
1.0000,55.0000,2.0000,16.0000,78.0000,19.0000,33.0000,5.0000,10079.0000
1.0000,45.0000,2.0000,18.0000,78.0000,5.0000,30.0000,7.0000,10080.0000
1.0000,89.0000,2.0000,17.0000,78.0000,16.0000,15.0000,6.0000,10081.0000
1.0000,51.0000,2.0000,18.0000,78.0000,20.0000,0.0000,7.0000,10082.0000
1.0000,55.0000,2.0000,15.0000,78.0000,7.0000,3.0000,4.0000,10083.0000
1.0000,125.0000,2.0000,17.0000,78.0000,2.0000,30.0000,6.0000,10084.0000
1.0000,55.0000,1.0000,29.0000,78.0000,17.0000,50.0000,1.0000,10085.0000
1.0000,55.0000,2.0000,16.0000,78.0000,7.0000,10.0000,5.0000,10086.0000
1.0000,55.0000,2.0000,6.0000,78.0000,21.0000,30.0000,2.0000,10087.0000
1.0000,71.0000,2.0000,16.0000,78.0000,16.0000,15.0000,5.0000,10088.0000
1.0000,133.0000,2.0000,14.0000,78.0000,20.0000,40.0000,3.0000,10089.0000
1.0000,101.0000,2.0000,19.0000,78.0000,19.0000,4.0000,1.0000,10092.0000
1.0000,51.0000,2.0000,18.0000,78.0000,16.0000,15.0000,7.0000,10093.0000
1.0000,3.0000,2.0000,24.0000,78.0000,13.0000,32.0000,6.0000,10094.0000
1.0000,85.0000,2.0000,24.0000,78.0000,19.0000,45.0000,6.0000,10095.0000
1.0000,39.0000,2.0000,22.0000,78.0000,13.0000,30.0000,4.0000,10096.0000
1.0000,97.0000,2.0000,25.0000,78.0000,18.0000,12.0000,7.0000,10097.0000
1.0000,125.0000,2.0000,28.0000,78.0000,6.0000,9.0000,3.0000,10098.0000
1.0000,15.0000,2.0000,22.0000,78.0000,21.0000,12.0000,4.0000,10099.0000
1.0000,115.0000,2.0000,26.0000,78.0000,23.0000,45.0000,1.0000,10100.0000
1.0000,23.0000,2.0000,22.0000,78.0000,19.0000,30.0000,4.0000,10101.0000
1.0000,97.0000,2.0000,27.0000,78.0000,21.0000,43.0000,2.0000,10102.0000
1.0000,97.0000,2.0000,24.0000,78.0000,19.0000,35.0000,6.0000,10104.0000
1.0000,71.0000,2.0000,19.0000,78.0000,7.0000,53.0000,1.0000,10105.0000
1.0000,127.0000,2.0000,8.0000,78.0000,21.0000,41.0000,4.0000,10106.0000
1.0000,89.0000,2.0000,28.0000,78.0000,22.0000,31.0000,3.0000,10107.0000
1.0000,105.0000,2.0000,9.0000,78.0000,14.0000,43.0000,5.0000,10108.0000
1.0000,105.0000,2.0000,10.0000,78.0000,13.0000,10.0000,6.0000,10109.0000
1.0000,67.0000,2.0000,20.0000,78.0000,17.0000,30.0000,2.0000,10110.0000
1.0000,117.0000,2.0000,27.0000,78.0000,18.0000,0.0000,2.0000,10111.0000
1.0000,101.0000,3.0000,3.0000,78.0000,18.0000,10.0000,6.0000,10112.0000
1.0000,55.0000,3.0000,1.0000,78.0000,11.0000,33.0000,4.0000,10113.0000
1.0000,73.0000,3.0000,6.0000,78.0000,7.0000,0.0000,2.0000,10114.0000
1.0000,35.0000,3.0000,3.0000,78.0000,16.0000,30.0000,6.0000,10115.0000
1.0000,47.0000,3.0000,3.0000,78.0000,18.0000,50.0000,6.0000,10116.0000
1.0000,89.0000,3.0000,6.0000,78.0000,20.0000,48.0000,2.0000,10117.0000
1.0000,91.0000,3.0000,2.0000,78.0000,20.0000,0.0000,5.0000,10118.0000
1.0000,73.0000,3.0000,2.0000,78.0000,11.0000,45.0000,5.0000,10119.0000
1.0000,103.0000,3.0000,1.0000,78.0000,24.0000,0.0000,4.0000,10120.0000
1.0000,103.0000,3.0000,1.0000,78.0000,18.0000,45.0000,4.0000,10121.0000
1.0000,121.0000,3.0000,3.0000,78.0000,11.0000,9.0000,6.0000,10122.0000
1.0000,49.0000,3.0000,2.0000,78.0000,15.0000,40.0000,5.0000,10123.0000
1.0000,95.0000,2.0000,18.0000,78.0000,4.0000,32.0000,7.0000,10124.0000
1.0000,97.0000,3.0000,12.0000,78.0000,5.0000,15.0000,1.0000,10125.0000
1.0000,97.0000,2.0000,16.0000,78.0000,7.0000,36.0000,5.0000,10126.0000
1.0000,75.0000,3.0000,1.0000,78.0000,6.0000,35.0000,4.0000,10127.0000
1.0000,79.0000,3.0000,10.0000,78.0000,21.0000,55.0000,6.0000,10128.0000
1.0000,73.0000,3.0000,2.0000,78.0000,11.0000,10.0000,5.0000,10129.0000
1.0000,127.0000,3.0000,3.0000,78.0000,18.0000,35.0000,6.0000,10130.0000
1.0000,19.0000,2.0000,19.0000,78.0000,23.0000,15.0000,1.0000,10131.0000
1.0000,73.0000,3.0000,6.0000,78.0000,19.0000,16.0000,2.0000,10132.0000
1.0000,73.0000,3.0000,11.0000,78.0000,14.0000,0.0000,7.0000,10133.0000
1.0000,89.0000,3.0000,13.0000,78.0000,23.0000,45.0000,2.0000,10134.0000
1.0000,53.0000,3.0000,12.0000,78.0000,2.0000,0.0000,1.0000,10135.0000
1.0000,69.0000,2.0000,10.0000,78.0000,14.0000,0.0000,6.0000,10136.0000
1.0000,55.0000,2.0000,27.0000,78.0000,99.0000,99.0000,2.0000,10138.0000
1.0000,3.0000,3.0000,14.0000,78.0000,16.0000,0.0000,3.0000,10139.0000
