STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,MILEPT,CITY
1,49,1,1,21,32,5,10001,0,0
1,113,1,1,15,55,5,10002,0,0
1,89,1,1,8,30,5,10003,914,0
1,43,1,3,12,10,7,10004,0,0
1,127,1,5,10,20,2,10005,2135,0
1,69,1,2,22,45,6,10006,0,0
1,71,1,1,14,0,5,10007,0,0
1,47,1,3,24,0,7,10008,0,0
1,35,1,3,17,22,7,10009,99999,1080
1,19,1,3,14,45,7,10010,88,0
1,21,1,12,8,0,2,10011,2247,0
1,21,1,12,0,45,2,10012,2098,0
1,87,1,6,13,35,3,10013,0,0
1,79,1,8,20,20,5,10014,245,0
1,21,1,9,18,45,6,10015,0,0
1,125,1,9,15,20,6,10016,0,0
1,5,1,5,20,50,2,10017,99999,1050
1,111,1,4,19,10,1,10018,1526,0
1,97,1,5,18,46,2,10019,0,2100
1,79,1,12,17,20,2,10020,36,0
1,103,1,6,17,8,3,10021,0,0
1,3,1,8,16,50,5,10022,341,0
1,73,1,17,18,15,7,10023,118,0
1,83,1,6,15,30,3,10024,99999,170
1,35,1,10,3,0,7,10025,868,0
1,95,1,12,22,42,2,10026,99999,1500
1,37,1,10,13,40,7,10027,0,0
1,105,1,10,20,0,7,10028,99999,0
1,7,1,19,22,0,2,10029,87,0
1,47,1,25,1,15,1,10030,2855,2715
1,61,1,7,18,0,4,10031,0,0
1,73,1,26,11,20,2,10032,0,0
1,39,1,26,11,45,2,10033,0,0
1,77,1,11,4,55,1,10034,715,0
1,55,1,26,20,15,2,10035,0,0
1,25,1,24,10,30,7,10036,215,0
1,11,1,27,7,25,3,10037,1499,0
1,15,1,28,10,0,4,10038,0,0
1,79,1,20,0,30,3,10039,0,0
1,73,1,29,20,14,5,10040,0,330
1,91,1,25,10,30,1,10041,1064,0
1,69,1,13,16,13,3,10042,99999,930
1,65,1,31,12,40,7,10043,0,0
1,125,1,19,11,26,2,10044,99999,3050
1,77,1,25,0,30,1,10045,0,0
1,21,1,31,21,45,7,10046,0,700
1,47,1,19,17,10,2,10047,0,0
1,47,1,21,17,30,4,10048,926,0
1,97,1,22,16,59,5,10049,99999,2100
1,73,1,28,1,38,4,10050,0,0
1,129,1,31,6,15,7,10051,650,650
1,127,1,29,19,15,5,10052,581,0
1,73,1,9,17,54,6,10053,831,0
1,127,1,29,14,25,5,10054,2131,0
1,1,1,31,2,20,7,10055,0,0
1,13,1,31,1,8,7,10056,1383,0
1,3,1,17,21,37,7,10057,520,0
1,51,1,17,19,30,7,10058,0,2063
1,31,1,21,10,15,4,10059,84,0
1,73,1,6,15,12,3,10060,0,350
1,97,1,30,22,40,6,10061,65,0
1,73,1,5,12,50,2,10062,99999,3125
1,73,1,31,5,25,7,10063,0,0
1,111,1,20,23,53,3,10064,1830,2640
1,73,1,17,23,9,7,10065,99999,350
1,113,1,7,19,0,4,10066,99999,2440
1,89,1,28,13,0,4,10067,3332,1730
1,31,1,26,15,0,2,10068,238,0
1,123,1,30,13,56,6,10069,865,1762
1,103,1,31,10,32,7,10070,99999,890
1,73,1,28,3,35,4,10071,99999,350
1,79,2,2,15,30,2,10072,0,0
1,97,2,5,8,50,5,10073,0,0
1,87,2,2,20,0,2,10074,0,0
1,89,2,3,17,45,3,10075,3495,0
1,55,2,3,18,0,3,10076,0,0
1,133,2,6,8,25,6,10077,0,0
1,3,2,6,19,42,6,10078,0,0
1,73,2,7,7,55,7,10079,0,0
1,17,2,9,22,23,2,10080,714,0
1,17,2,9,22,24,2,10081,715,0
1,15,2,1,0,5,1,10082,0,0
1,121,2,10,14,34,3,10083,2161,0
1,73,2,4,22,37,4,10084,99999,350
1,113,2,7,2,0,7,10085,0,0
1,73,2,8,20,58,1,10086,1256,350
1,27,2,2,16,5,2,10087,1935,0
1,129,2,8,4,20,1,10088,108,0
1,23,2,13,23,0,6,10089,0,0
1,31,2,15,9,20,1,10090,238,0
1,85,2,8,20,23,1,10091,2340,0
1,33,2,13,13,40,6,10092,0,0
1,71,2,14,0,30,7,10093,0,0
1,101,2,18,15,20,4,10094,917,0
1,97,2,6,13,45,6,10095,108,0
1,97,2,7,13,15,7,10096,0,2100
1,53,2,16,12,10,2,10097,656,0
1,127,2,18,12,10,4,10098,307,0
1,29,2,20,15,10,6,10099,2272,0
1,117,2,15,13,30,1,10100,2344,0
1,85,2,17,21,50,3,10101,0,0
1,15,2,22,3,5,1,10102,0,0
1,3,2,11,5,25,4,10103,129,0
1,97,2,13,23,53,6,10104,190,0
1,47,2,16,1,15,2,10105,0,0
1,113,2,21,15,55,7,10106,99999,2440
1,125,2,22,19,50,1,10107,401,0
1,101,2,19,12,15,5,10108,740,0
1,67,2,22,2,30,1,10109,516,0
1,73,2,23,8,5,2,10110,0,350
1,77,2,26,10,40,5,10111,3363,0
1,35,2,3,20,20,3,10112,0,0
1,103,2,21,13,10,7,10113,0,0
1,115,2,23,14,45,2,10114,1510,0
1,63,2,24,18,15,3,10115,0,3083
1,89,2,22,17,30,1,10116,0,0
1,97,2,3,18,40,3,10117,160,0
1,97,2,18,19,15,4,10118,0,0
1,117,2,21,19,25,7,10119,99999,1716
1,97,2,23,12,45,2,10120,145,0
1,119,2,26,17,8,5,10121,115,0
1,87,2,14,12,5,7,10122,0,0
1,77,2,26,17,50,5,10123,31,0
1,95,2,27,20,7,6,10124,99999,50
1,3,2,28,20,33,7,10125,0,0
1,117,2,28,3,10,7,10126,0,0
1,73,2,20,21,30,6,10127,0,350
1,101,2,25,14,50,4,10128,0,2130
1,101,2,6,19,11,6,10129,0,2130
1,101,2,8,17,57,1,10130,0,2130
1,57,2,6,22,15,6,10131,0,320
1,125,2,14,7,0,7,10132,99999,3050
1,79,2,9,15,25,2,10133,99999,2150
1,95,2,26,11,25,5,10134,99999,1500
1,77,2,5,5,53,5,10135,99999,1200
1,121,2,27,14,20,6,10136,0,0
1,123,2,23,18,8,2,10137,99999,2940
1,97,1,31,5,6,7,10138,0,2100
1,73,1,24,10,40,7,10139,0,350
1,101,1,20,9,5,3,10140,0,2130
1,101,3,2,11,0,2,10141,1047,0
1,65,3,5,16,50,5,10142,0,0
1,121,3,2,18,15,2,10143,1525,0
1,29,3,3,2,30,3,10144,1993,0
1,113,3,6,9,35,6,10145,962,0
1,127,3,4,1,30,4,10146,0,0
1,43,3,5,12,30,5,10147,238,0
1,89,3,5,6,5,5,10148,0,0
1,109,3,5,19,20,5,10149,1797,0
1,125,3,3,20,50,3,10150,993,0
1,15,3,13,0,5,6,10151,0,0
1,133,3,11,5,10,4,10152,2100,0
1,93,3,7,18,40,7,10153,2303,0
1,97,3,7,1,15,7,10154,0,0
1,117,3,8,12,5,1,10155,0,0
1,49,3,11,7,30,4,10156,0,0
1,71,3,12,18,40,5,10157,111,0
1,113,3,13,7,0,6,10158,2069,0
1,1,3,14,11,45,7,10159,0,0
1,55,3,15,5,10,1,10160,0,0
1,71,3,18,15,50,4,10161,0,0
1,59,3,12,16,50,5,10162,51,0
1,89,3,2,9,0,2,10163,99999,1730
1,1,3,15,4,25,1,10164,1330,0
1,91,3,15,21,30,1,10165,1073,0
1,73,3,20,23,30,6,10166,185,0
1,63,3,14,19,31,7,10167,0,0
1,103,3,13,19,20,6,10168,0,0
1,73,3,16,22,50,2,10169,0,0
1,45,3,18,18,45,4,10170,0,0
1,97,3,15,1,0,1,10171,0,2100
1,15,3,15,2,30,1,10172,0,1650
1,121,3,20,18,0,6,10173,87,0
1,73,3,9,8,50,2,10174,237,0
1,97,3,18,16,45,4,10175,0,0
1,93,3,18,10,50,4,10176,2723,0
1,9,3,21,2,35,7,10177,0,0
1,55,3,12,7,35,5,10178,2267,0
1,97,3,13,10,50,6,10179,99999,2100
1,123,3,8,12,53,1,10180,1249,0
1,73,3,8,23,25,1,10181,136,0
1,73,3,22,3,45,1,10182,0,0
1,31,3,24,7,0,3,10183,326,0
1,21,3,29,19,0,1,10184,812,0
1,7,3,14,2,45,7,10185,0,0
1,117,3,17,19,35,3,10186,0,530
1,97,3,21,1,57,7,10187,170,0
1,125,3,21,13,0,7,10188,0,0
1,89,3,24,16,25,3,10189,0,0
1,5,3,24,14,20,3,10190,2209,0
1,109,3,4,8,35,4,10191,0,0
1,69,3,17,13,50,3,10192,99999,930
1,17,3,6,3,27,6,10193,99999,3111
1,129,3,31,12,20,3,10194,406,0
1,73,3,26,12,58,5,10195,99999,350
1,65,3,21,18,30,7,10196,596,0
1,115,3,26,18,35,5,10197,8,0
1,73,3,31,15,10,3,10198,1040,330
1,3,3,21,19,15,7,10199,0,0
1,35,3,20,13,30,6,10200,278,0
1,21,3,19,23,9,5,10201,0,700
1,111,3,22,17,5,1,10202,0,0
1,49,3,26,12,0,5,10203,0,1230
1,101,3,22,2,25,1,10204,1662,2130
1,59,3,4,14,7,4,10205,0,2690
1,61,3,14,12,30,7,10206,229,0
1,55,3,28,11,40,7,10207,0,1280
1,101,3,24,22,10,3,10208,99999,2130
1,43,3,18,7,12,4,10209,99999,830
1,59,1,18,8,5,1,10210,0,0
1,73,1,31,1,33,7,10211,0,0
