STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,ST_CASE,CITY
1,73,1,1,2,10,10001,0
1,51,1,2,5,20,10002,0
1,99,1,1,17,25,10003,0
1,125,1,4,18,0,10004,0
1,9,1,6,20,20,10005,0
1,69,1,6,23,15,10006,0
1,115,1,7,17,3,10007,0
1,73,1,10,5,56,10008,1270
1,55,1,11,7,40,10009,0
1,9,1,6,9,1,10010,0
1,117,1,9,19,40,10011,0
1,97,1,13,0,55,10012,0
1,111,1,17,6,10,10013,0
1,117,1,14,18,30,10014,0
1,73,1,5,6,10,10015,1850
1,125,1,9,16,25,10016,0
1,5,1,19,8,0,10017,1050
1,101,1,21,23,45,10018,0
1,21,1,21,3,35,10019,0
1,9,1,5,15,50,10020,0
1,133,1,15,19,15,10021,0
1,127,1,23,5,40,10022,0
1,3,1,2,12,0,10023,0
1,55,1,21,8,40,10024,0
1,25,1,20,14,45,10025,0
1,97,1,16,0,18,10026,0
1,97,1,17,5,45,10027,0
1,45,1,22,23,50,10028,0
1,85,1,25,15,30,10029,0
1,43,1,23,2,0,10030,0
1,93,1,14,18,45,10031,0
1,73,1,30,11,30,10032,350
1,15,1,27,19,35,10033,0
1,95,1,6,11,57,10034,1500
1,47,1,26,5,55,10035,0
1,101,1,4,18,25,10036,2130
1,119,1,30,5,0,10037,0
1,121,1,26,15,30,10038,0
1,27,1,8,16,45,10039,0
1,67,1,29,6,50,10040,0
1,3,1,30,20,30,10041,0
1,93,1,31,10,30,10042,1490
1,111,1,24,18,15,10043,0
1,25,1,31,4,10,10044,0
1,69,2,1,18,0,10045,0
1,115,2,1,15,0,10046,0
1,73,2,3,20,30,10047,0
1,17,2,7,11,20,10048,0
1,133,2,3,20,19,10049,0
1,113,2,6,21,50,10050,0
1,15,2,2,19,0,10051,0
1,45,2,5,15,30,10052,0
1,101,2,7,18,15,10053,0
1,45,2,9,11,15,10054,0
1,43,2,6,13,0,10055,0
1,19,2,10,16,5,10056,0
1,97,2,12,1,40,10057,0
1,95,2,14,14,55,10058,0
1,33,2,15,17,58,10059,660
1,127,2,17,2,17,10060,920
1,81,2,18,6,40,10061,0
1,97,2,5,4,33,10062,0
1,59,2,6,21,55,10063,0
1,3,2,16,20,0,10064,0
1,21,2,20,14,6,10065,0
1,63,2,13,14,45,10066,0
1,63,2,13,15,33,10067,0
1,97,2,14,9,15,10068,0
1,97,2,4,19,39,10069,2100
1,97,2,16,19,0,10070,2100
1,117,2,3,21,3,10071,47
1,43,2,17,13,55,10072,830
1,1,2,19,20,5,10073,0
1,83,2,19,22,5,10074,0
1,9,2,20,9,20,10075,0
1,101,2,26,3,30,10076,0
1,65,2,20,18,45,10077,40
1,97,2,21,13,55,10078,0
1,37,2,4,5,50,10079,0
1,53,2,24,6,45,10080,0
1,103,2,25,5,20,10081,1590
1,103,2,14,0,15,10082,0
1,87,2,28,1,0,10083,0
1,27,2,26,12,55,10084,0
1,121,2,15,17,45,10085,680
1,115,2,21,4,50,10086,0
1,115,2,26,13,12,10087,0
1,15,2,27,21,10,10088,0
1,73,2,20,19,55,10089,0
1,35,2,28,3,20,10090,0
1,55,2,23,18,38,10091,1280
1,89,2,24,17,0,10092,1730
1,101,2,21,23,35,10093,2130
1,117,2,5,22,15,10094,0
1,73,2,20,15,23,10095,330
1,73,2,23,2,19,10096,330
1,125,2,20,23,21,10097,3050
1,73,2,16,7,3,10098,1717
1,13,2,14,3,30,10099,0
1,101,2,20,6,20,10100,2130
1,73,2,24,10,35,10101,1850
1,95,3,3,22,45,10102,0
1,19,3,6,9,0,10103,0
1,121,3,1,20,20,10104,0
1,15,3,2,18,45,10105,0
1,109,3,2,13,48,10106,0
1,43,3,2,20,20,10107,0
1,51,3,10,20,15,10108,0
1,25,3,1,10,5,10109,0
1,129,3,6,23,2,10110,0
1,9,3,7,12,15,10111,0
1,117,3,8,5,25,10112,0
1,127,3,13,1,20,10113,0
1,43,3,6,2,15,10114,0
1,43,3,12,18,35,10115,0
1,125,3,7,2,30,10116,3050
1,103,3,12,15,36,10117,2814
1,23,3,15,13,30,10118,0
1,15,3,9,8,20,10119,0
1,99,3,10,15,46,10120,0
1,121,3,14,18,15,10121,0
1,127,3,15,16,50,10122,0
1,89,3,20,15,35,10123,0
1,97,3,1,20,30,10124,0
1,77,3,12,18,10,10125,0
1,71,3,19,22,30,10126,0
1,55,3,20,6,30,10127,0
1,109,3,18,5,10,10128,0
1,89,3,24,22,18,10129,1730
1,97,3,2,1,40,10130,2100
1,33,3,25,17,15,10131,0
1,77,3,15,6,35,10132,0
1,129,3,23,23,50,10133,0
1,73,3,16,16,35,10134,350
1,117,3,17,15,55,10135,0
1,73,3,21,8,3,10136,350
1,117,3,21,15,10,10137,0
1,77,3,18,20,30,10138,0
1,41,3,25,7,25,10139,0
1,111,3,28,14,10,10140,0
1,43,3,28,18,5,10141,0
1,97,3,29,15,8,10142,2100
1,133,3,4,5,50,10143,1530
1,3,3,27,0,58,10144,0
1,73,3,30,23,55,10145,0
1,17,3,27,17,31,10146,3111
1,73,3,28,6,0,10147,0
1,33,3,20,19,53,10148,2780
1,131,3,28,18,25,10149,0
1,81,3,6,11,35,10150,200
1,125,3,31,8,30,10151,0
1,131,3,30,19,20,10152,0
1,61,3,23,16,30,10153,0
1,17,3,31,17,26,10154,1830
1,109,3,29,18,20,10155,3040
1,43,3,22,14,10,10156,0
1,69,1,13,19,5,10157,930
1,23,1,28,6,0,10158,0
1,85,2,27,19,0,10159,3271
1,115,2,1,18,39,10160,2410
1,73,1,13,16,55,10161,0
1,89,1,17,1,42,10162,1730
1,15,1,15,10,59,10163,2460
1,89,1,22,18,50,10164,1730
1,103,2,24,10,49,10165,890
1,77,3,2,19,28,10166,2670
1,103,3,20,2,4,10167,890
1,101,4,4,14,55,10168,0
1,117,4,2,16,25,10169,770
1,97,4,2,20,40,10170,0
1,29,4,3,18,20,10171,0
1,3,4,3,1,40,10172,0
1,85,4,4,14,50,10173,0
1,11,4,3,12,15,10174,0
1,59,4,3,22,22,10175,0
1,115,4,1,13,0,10176,0
