STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,CITY
1,117,1,1,5,24,7,10001,2405
1,1,1,3,18,35,2,10002,0
1,73,1,9,8,45,1,10003,2960
1,21,1,6,3,25,5,10004,0
1,53,1,4,9,35,3,10005,0
1,97,1,1,19,15,7,10006,0
1,49,1,1,19,50,7,10007,0
1,15,1,9,0,45,1,10008,0
1,89,1,3,18,10,2,10009,0
1,103,1,6,2,50,5,10010,0
1,73,1,7,18,29,6,10011,1750
1,77,1,9,21,10,1,10012,0
1,31,1,13,11,48,5,10013,0
1,47,1,8,7,45,7,10014,0
1,127,1,9,2,0,1,10015,0
1,15,1,8,22,30,7,10016,0
1,83,1,17,1,0,2,10017,0
1,33,1,11,8,5,3,10018,0
1,63,1,10,15,26,2,10019,0
1,101,1,5,4,20,4,10020,2130
1,123,1,20,16,25,5,10021,60
1,97,1,15,16,35,7,10022,2100
1,97,1,19,0,41,4,10023,2100
1,97,1,16,3,55,1,10024,2100
1,89,1,20,17,0,5,10025,0
1,101,1,26,2,55,4,10026,0
1,89,1,18,15,12,3,10027,1730
1,133,1,18,16,5,3,10028,0
1,71,1,23,3,20,1,10029,0
1,77,1,23,16,55,1,10030,0
1,95,1,27,23,50,5,10031,0
1,125,1,1,4,15,7,10032,3050
1,9,1,19,13,20,4,10033,0
1,127,1,23,15,45,1,10034,0
1,81,1,13,16,55,5,10035,0
1,3,1,6,16,10,5,10036,0
1,103,1,7,7,49,6,10037,890
1,3,1,17,22,30,2,10038,0
1,1,1,31,17,15,2,10039,0
1,103,1,2,6,2,1,10040,1590
1,69,1,17,13,10,2,10041,0
1,9,1,29,16,50,7,10042,0
1,117,1,29,4,10,7,10043,0
1,113,1,24,14,48,2,10044,0
1,73,1,18,15,5,3,10045,0
1,19,1,27,11,40,5,10046,0
1,75,1,27,18,15,5,10047,0
1,131,1,15,19,0,7,10048,0
1,119,1,29,19,10,7,10049,0
1,115,1,6,15,10,5,10050,2136
1,73,1,22,19,30,7,10051,0
1,119,1,22,4,45,7,10052,0
1,91,1,29,21,55,7,10053,0
1,27,1,4,16,10,3,10054,1890
1,113,1,25,15,0,3,10055,2440
1,121,1,7,7,20,6,10056,1870
1,15,1,14,0,38,6,10057,2370
1,103,1,29,15,20,7,10058,890
1,49,1,29,15,30,7,10059,1230
1,73,1,13,16,55,5,10060,350
1,77,1,22,9,53,7,10061,1200
1,53,1,2,14,0,1,10062,0
1,33,1,6,7,59,5,10063,2780
1,121,1,27,16,10,5,10064,680
1,73,1,5,8,26,4,10065,490
1,81,1,9,15,34,1,10066,200
1,83,2,1,20,55,3,10067,0
1,93,2,6,16,55,1,10068,0
1,95,2,3,21,40,5,10069,0
1,5,2,3,17,50,5,10070,0
1,109,2,5,5,30,7,10071,0
1,97,2,7,8,38,2,10072,2100
1,61,2,7,13,15,2,10073,0
1,127,2,3,19,10,5,10074,0
1,43,2,4,14,20,6,10075,0
1,43,2,5,21,34,7,10076,0
1,131,2,6,1,0,1,10077,0
1,59,2,11,13,50,6,10078,0
1,77,2,7,19,37,2,10079,0
1,35,2,12,19,35,7,10080,1080
1,121,2,13,20,5,1,10081,0
1,121,2,16,16,15,4,10082,2275
1,15,2,11,17,15,6,10083,0
1,97,2,13,22,6,1,10084,2100
1,101,2,12,6,41,7,10085,2130
1,125,2,2,16,25,4,10086,0
1,91,2,3,8,45,5,10087,0
1,91,2,8,17,49,3,10088,0
1,51,2,13,17,15,1,10089,0
1,101,2,18,23,0,6,10090,0
1,99,2,3,8,41,5,10091,0
1,3,2,12,3,45,7,10092,0
1,117,2,17,1,40,5,10093,0
1,91,2,11,10,10,6,10094,0
1,97,2,20,1,15,1,10095,0
1,5,2,25,13,20,6,10096,0
1,127,2,20,11,10,1,10097,0
1,73,2,3,16,45,5,10098,0
1,89,2,4,2,15,6,10099,0
1,77,2,15,7,58,3,10100,0
1,33,2,18,9,15,6,10101,0
1,21,2,25,20,15,6,10102,0
1,73,2,26,5,40,7,10103,0
1,13,2,23,22,30,4,10104,0
1,73,2,10,22,0,5,10105,0
1,3,2,25,6,5,6,10106,0
1,117,2,26,4,10,7,10107,0
1,51,2,26,23,15,7,10108,0
1,45,2,28,23,15,2,10109,0
1,97,2,29,0,58,3,10110,2100
1,17,2,12,22,20,7,10111,0
1,23,2,24,10,15,5,10112,0
1,37,2,26,23,55,7,10113,0
1,113,2,17,11,45,5,10114,0
1,89,2,18,11,20,6,10115,0
1,33,2,22,15,15,3,10116,0
1,95,2,22,16,35,3,10117,0
1,3,2,24,10,55,5,10118,0
1,3,2,25,8,5,6,10119,0
1,35,2,26,18,55,7,10120,0
1,53,2,27,4,5,1,10121,0
1,109,2,27,13,31,1,10122,0
1,61,2,9,15,30,4,10123,1340
1,109,2,4,4,0,6,10124,3040
1,79,2,8,12,57,3,10125,2150
1,115,2,17,8,1,5,10126,2320
1,125,2,13,19,20,1,10127,0
1,97,2,29,14,57,3,10128,0
1,95,2,3,9,2,5,10129,1500
1,81,2,16,4,30,4,10130,2340
1,69,2,14,20,21,2,10131,930
1,89,3,4,1,20,7,10132,0
1,33,3,2,9,0,5,10133,0
1,101,3,4,12,21,7,10134,0
1,15,3,1,0,25,4,10135,0
1,97,3,3,20,15,6,10136,2100
1,113,3,3,1,15,6,10137,0
1,1,3,8,4,0,4,10138,0
1,97,3,1,13,40,4,10139,0
1,107,3,1,19,20,4,10140,0
1,21,3,9,7,35,5,10141,0
1,127,3,10,5,50,6,10142,0
1,49,3,4,10,54,7,10143,750
1,115,3,8,19,5,4,10144,0
1,53,3,3,1,15,6,10145,0
1,89,3,10,8,58,6,10146,1730
1,59,3,7,18,49,3,10147,0
1,95,3,7,20,15,3,10148,0
1,73,3,14,3,30,3,10149,1850
1,17,3,13,15,50,2,10150,0
1,127,3,14,9,10,3,10151,0
1,3,3,7,9,25,3,10152,0
1,129,3,1,19,50,4,10153,0
1,97,3,5,12,30,1,10154,0
1,125,3,8,20,40,4,10155,0
1,69,3,13,0,20,2,10156,2961
1,1,3,3,18,20,6,10157,0
1,59,3,18,14,30,7,10158,0
1,69,3,1,9,43,4,10159,140
1,61,3,25,14,55,7,10160,0
1,97,3,6,18,50,2,10161,0
1,125,3,24,12,15,6,10162,0
1,25,3,16,19,45,5,10163,0
1,25,3,19,5,30,1,10164,0
1,3,3,22,7,30,4,10165,0
1,121,3,23,22,55,5,10166,0
1,81,3,26,19,15,1,10167,0
1,11,3,19,22,0,1,10168,0
1,79,3,23,21,5,5,10169,0
1,13,3,26,0,35,1,10170,0
1,95,3,3,12,0,6,10171,50
1,27,3,30,17,40,5,10172,0
1,89,3,11,14,30,7,10173,1730
1,73,3,16,11,10,5,10174,0
1,81,3,30,15,5,5,10175,0
1,113,3,30,7,0,5,10176,0
1,9,3,25,4,15,7,10177,0
1,127,3,24,11,30,6,10178,0
1,95,3,27,16,3,2,10179,0
1,73,3,16,2,5,5,10180,350
1,63,3,26,0,50,1,10181,0
1,3,3,27,18,30,2,10182,1493
1,125,3,24,20,45,6,10183,0
1,25,3,25,3,20,7,10184,0
1,91,3,25,4,35,7,10185,0
1,93,3,10,12,41,6,10186,3300
1,101,3,20,19,3,2,10187,2130
1,65,3,7,10,0,3,10188,1450
1,101,3,30,15,30,5,10189,2130
1,21,3,29,21,8,4,10190,1790
1,73,3,2,6,7,5,10191,1850
1,55,3,11,8,47,7,10192,1280
1,125,3,17,16,0,6,10193,3050
1,73,3,13,8,37,2,10194,330
1,133,3,3,11,47,6,10195,1530
1,95,3,18,20,40,7,10196,400
1,89,3,22,18,57,4,10197,1730
1,125,3,9,6,35,5,10199,2260
1,93,3,27,23,59,2,10200,1540
1,55,3,22,10,0,4,10201,1670
1,7,3,21,17,25,3,10202,0
1,77,3,1,15,50,4,10203,0
1,73,3,12,4,53,1,10204,0
1,115,2,2,9,55,4,10205,2136
1,17,2,12,13,34,7,10206,1830
1,127,4,1,12,50,7,10207,0
1,73,4,1,15,1,7,10208,1850
1,71,4,2,16,10,1,10209,0
1,113,4,5,21,15,4,10210,0
1,33,4,3,8,25,2,10211,660
1,121,4,9,15,20,1,10212,1870
1,31,4,8,22,59,7,10213,0
1,85,4,12,22,20,4,10214,0
1,45,4,13,20,12,5,10215,0
1,97,4,5,6,30,4,10216,0
