STATE,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,LATITUDE,LONGITUD
1,1,1,7,45,3,10001,33.93244167,-87.06511667
1,1,3,20,35,5,10002,30.52275,-88.20847222
1,1,1,2,10,3,10003,33.81698056,-85.39874167
1,1,3,1,0,5,10004,33.25592222,-86.4616
1,1,3,1,5,5,10005,32.6336,-87.34897222
1,1,2,11,40,4,10006,32.07263889,-87.78457222
1,1,4,15,40,6,10007,34.923875,-86.71372778
1,1,7,11,35,2,10008,32.43923611,-85.36408889
1,1,18,23,0,6,10009,31.99618333,-86.1478
1,1,16,4,50,4,10010,32.46231389,-85.15650556
1,1,3,14,35,5,10011,30.41386389,-87.85238889
1,1,10,23,20,5,10012,31.03042778,-88.24739167
1,1,14,17,40,2,10013,32.53660833,-85.94820833
1,1,2,9,15,4,10014,33.19651111,-85.904775
1,1,5,23,50,7,10015,31.92295,-86.69246389
1,1,11,19,25,6,10016,,
1,1,14,5,0,2,10017,33.31076111,-85.67268056
1,1,15,15,45,3,10019,33.49742222,-86.90331389
1,1,20,2,36,1,10020,30.81216111,-88.10113611
1,1,22,3,50,3,10021,33.13371111,-86.7443
1,1,20,9,5,1,10022,33.17822222,-87.37714444
1,1,25,19,35,6,10023,32.59885278,-85.57280833
1,1,26,19,0,7,10024,33.48241667,-86.85900556
1,1,7,9,35,2,10025,31.22652778,-87.18761667
1,1,25,7,45,6,10026,32.96322222,-87.81892778
1,1,13,10,30,1,10027,34.36288056,-87.06496389
1,1,2,18,20,4,10028,31.023125,-87.173575
1,1,14,19,35,2,10029,34.918225,-86.69595
1,1,16,15,35,4,10030,33.56084444,-86.63974167
1,1,22,15,45,3,10031,32.61503611,-87.83373333
1,1,22,11,0,3,10032,32.88303333,-87.60851111
1,1,23,17,55,4,10033,,
1,1,12,20,30,7,10034,33.22630833,-87.57261111
1,1,25,16,15,6,10035,,
1,1,13,2,11,1,10036,33.20572778,-87.56793889
1,1,26,5,0,7,10037,31.75220278,-87.20762778
1,1,1,7,50,3,10038,31.15818611,-86.824975
1,1,10,9,15,5,10039,34.67351111,-86.03314167
1,1,26,0,40,7,10040,34.60523889,-87.41484444
1,1,25,22,16,6,10041,33.32771111,-86.79296667
1,1,24,21,39,5,10042,33.35533889,-86.87702778
1,1,4,16,45,6,10043,32.44006944,-87.08358611
1,1,11,11,47,6,10044,33.38738889,-87.07071389
1,1,17,13,40,5,10045,32.94206944,-87.09205278
1,1,26,19,29,7,10046,34.53342778,-87.73725833
1,1,18,14,53,6,10047,32.41824722,-86.22297778
1,1,31,1,58,5,10048,33.14780833,-87.68224167
1,1,3,12,5,5,10049,33.23423333,-88.24845556
1,1,8,18,55,3,10050,34.72000833,-86.61789444
1,1,24,1,40,5,10051,,
1,1,31,14,25,5,10052,30.94863056,-88.22288611
1,1,30,16,15,4,10053,33.48362222,-86.82655278
1,1,23,5,10,4,10054,34.92246111,-87.37638889
1,1,19,19,48,7,10055,33.67012778,-87.50534722
1,1,30,13,30,4,10056,34.4236,-86.75294722
1,1,5,10,25,7,10057,33.51938333,-86.82584444
1,1,27,19,40,1,10058,32.02182222,-85.32816111
1,1,30,6,5,4,10059,34.70947222,-87.74785278
1,1,10,16,57,5,10060,30.70053889,-88.05283333
1,1,19,21,50,7,10061,33.70931111,-87.85187222
1,1,8,21,39,3,10062,34.78997778,-86.972125
1,1,29,13,14,3,10063,33.241025,-87.66251111
1,1,31,14,0,5,10064,31.84553611,-87.54867222
1,1,17,8,32,5,10065,30.69780556,-88.04214167
1,1,23,15,55,4,10066,31.31034722,-87.02562778
1,2,19,22,25,3,10067,33.17232222,-87.44560833
1,2,7,8,22,5,10068,30.94840833,-87.86229444
1,2,11,17,14,2,10069,30.54333056,-88.17467778
1,2,25,20,38,2,10070,34.24349167,-86.17205833
1,2,13,11,45,4,10071,30.71079444,-88.29720833
1,2,24,19,35,1,10072,33.31403333,-86.78748889
1,2,6,15,40,4,10073,33.09873611,-87.71459722
1,2,2,20,30,7,10074,32.57057778,-88.19758611
1,2,15,16,45,6,10075,34.54687778,-86.68896944
1,2,20,17,30,4,10076,30.59659444,-88.16340278
1,2,1,7,0,6,10077,30.49591389,-88.31013611
1,2,17,15,40,1,10078,32.30475833,-85.16805278
1,2,24,3,0,1,10079,32.53814167,-85.08660556
1,2,27,19,25,4,10080,33.59266944,-86.17325278
1,2,3,10,0,1,10081,30.92087778,-88.25711944
1,2,26,7,25,3,10082,32.72546944,-87.18834444
1,2,4,4,40,2,10083,33.81196389,-86.67386667
1,2,28,4,40,5,10084,34.729525,-86.85208056
1,2,12,21,10,3,10085,32.95976667,-87.82705278
1,2,4,0,15,2,10086,32.83083611,-88.04756944
1,2,20,7,50,4,10087,33.057325,-85.33123889
1,2,21,15,50,5,10088,30.77805833,-88.25124444
1,2,6,23,30,4,10089,30.93400278,-88.17036389
1,2,3,22,30,1,10090,34.89010833,-86.89289722
1,2,9,9,15,7,10091,32.26446944,-86.35351389
1,2,21,16,20,5,10092,30.41449167,-87.54793611
1,2,6,20,30,4,10093,31.11865556,-85.43575
1,2,5,23,50,3,10094,34.58138889,-86.9067
1,2,11,7,50,2,10095,31.93510556,-86.58177778
1,2,8,23,35,6,10096,33.15746944,-85.29663889
1,2,21,17,0,5,10097,32.07595833,-87.65521667
1,2,4,18,20,2,10098,33.93695,-85.45871667
1,2,9,2,40,7,10099,34.91024167,-87.98208611
1,2,14,19,10,5,10100,33.61450556,-86.97009444
1,2,12,19,59,3,10101,33.421475,-86.73961111
1,2,3,6,30,1,10102,30.95491944,-87.82389444
1,2,17,6,14,1,10103,31.080075,-85.88291111
1,2,1,0,55,6,10104,33.086225,-87.13338889
1,2,9,11,40,7,10105,33.91238056,-87.31
1,2,12,13,20,3,10106,33.42051111,-86.80176944
1,2,27,7,30,4,10107,33.45225278,-86.78746389
1,2,1,19,4,6,10108,34.65651667,-86.02101111
1,2,6,14,20,4,10109,32.36804722,-86.30877778
1,2,15,6,0,6,10110,32.64543611,-85.50986389
1,2,7,22,53,5,10111,30.85686667,-88.27990278
1,2,10,2,30,1,10112,30.55045,-88.10811111
1,2,14,9,45,5,10113,33.49408611,-86.88629167
1,2,10,10,30,1,10114,31.28109444,-87.198625
1,2,7,16,40,5,10115,33.76695556,-87.201825
1,2,19,20,15,3,10116,32.80815833,-86.67045556
1,2,14,11,40,5,10117,33.43410833,-86.78828333
1,2,20,23,35,4,10118,33.89531944,-87.53221111
1,2,27,12,45,4,10119,33.12845833,-85.36563056
1,2,17,3,30,1,10120,31.97797222,-85.66882778
1,2,16,21,30,7,10121,,
1,2,17,8,24,1,10122,34.61987778,-85.92131389
1,2,17,14,40,1,10123,34.83934444,-87.2281
1,2,20,11,40,4,10124,34.5586,-87.27599444
1,3,1,10,3,6,10125,32.26298333,-86.63711667
1,2,14,20,5,5,10126,34.44039167,-85.78286111
1,3,1,12,30,6,10127,33.30036667,-86.01433333
1,3,2,21,50,7,10128,33.93587222,-87.72359722
1,3,3,0,20,1,10129,34.879525,-87.42946944
1,3,2,18,30,7,10130,30.77382778,-88.37305278
1,3,7,13,10,5,10131,33.79392778,-86.9529
1,3,10,3,5,1,10132,33.60677778,-86.80926944
1,3,1,23,15,6,10133,30.76874722,-88.2342
1,3,11,16,35,2,10134,34.785075,-86.51849722
1,3,3,3,0,1,10135,34.70141389,-86.51780556
1,3,2,4,45,7,10136,30.48943333,-88.30174722
1,3,9,23,0,7,10137,34.89523333,-87.80859167
1,3,6,10,55,4,10138,30.76571111,-88.37568333
1,3,6,3,35,4,10139,32.64946944,-87.60549444
1,3,8,17,25,6,10140,33.08438056,-87.4545
1,3,6,8,4,4,10141,,
1,3,10,20,20,1,10142,33.25885,-87.79843333
1,3,12,17,45,3,10143,34.75831667,-86.83404167
1,3,15,4,25,6,10144,34.86279444,-87.76555278
1,3,19,9,15,3,10145,33.58292778,-86.64183611
1,3,7,19,10,5,10146,31.84387222,-85.50198056
1,3,19,23,55,3,10147,33.17246111,-85.32648611
1,3,15,12,45,6,10148,33.59539722,-86.37063889
1,3,14,15,10,5,10149,34.79333056,-86.66910556
1,3,15,21,22,6,10150,34.77676389,-85.89225278
1,3,11,12,30,2,10151,32.18154444,-86.46372778
1,3,14,5,45,5,10152,33.95093611,-85.62861944
