STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,1,1,2012,1,20,33,33,-86
1,10002,1,1,2012,1,13,15,35,-87
1,10003,2,1,2012,2,1,35,33,-87
1,10004,5,1,2012,5,15,12,33,-85
1,10005,6,1,2012,6,6,0,35,-88
1,10006,8,1,2012,1,18,41,32,-86
1,10007,8,1,2012,1,3,0,32,-87
1,10008,4,1,2012,4,1,50,33,-86
1,10009,1,1,2012,1,18,42,34,-86
1,10010,4,1,2012,4,18,28,33,-86
1,10011,6,1,2012,6,13,36,34,-87
1,10012,22,1,2012,1,19,49,34,-87
1,10013,25,1,2012,4,18,40,35,-86
1,10014,27,1,2012,6,18,50,34,-88
1,10015,1,1,2012,1,3,30,34,-86
1,10016,3,1,2012,3,12,10,34,-86
1,10017,3,1,2012,3,16,10,31,-88
1,10018,4,1,2012,4,10,30,34,-88
1,10019,6,1,2012,6,22,35,33,-85
1,10020,7,1,2012,7,9,55,31,-88
1,10021,10,1,2012,3,2,10,32,-87
1,10022,10,1,2012,3,6,23,33,-86
1,10023,10,1,2012,3,20,15,32,-88
1,10024,10,1,2012,3,15,10,34,-86
1,10025,12,1,2012,5,6,45,33,-88
1,10026,13,1,2012,6,21,30,34,-88
1,10027,14,1,2012,7,1,20,32,-86
1,10028,14,1,2012,7,19,30,31,-85
1,10029,14,1,2012,7,7,0,32,-88
1,10030,14,1,2012,7,23,49,34,-87
1,10031,14,1,2012,7,5,50,35,-86
1,10032,14,1,2012,7,17,17,35,-86
1,10033,15,1,2012,1,22,20,31,-88
1,10034,16,1,2012,2,14,20,31,-87
1,10035,16,1,2012,2,1,30,31,-86
1,10036,17,1,2012,3,6,50,31,-88
1,10037,18,1,2012,4,23,50,31,-86
1,10038,20,1,2012,6,6,30,33,-86
1,10039,20,1,2012,6,23,31,33,-88
1,10040,20,1,2012,6,12,59,31,-85
1,10041,21,1,2012,7,20,29,32,-86
1,10042,21,1,2012,7,1,25,32,-86
1,10043,21,1,2012,7,1,33,31,-87
1,10044,26,1,2012,5,13,40,32,-86
1,10045,26,1,2012,5,10,49,33,-88
1,10046,28,1,2012,7,6,25,31,-88
1,10047,28,1,2012,7,15,20,33,-87
1,10048,28,1,2012,7,1,50,33,-85
1,10049,18,1,2012,4,4,30,31,-88
1,10050,25,1,2012,4,20,40,31,-85
1,10051,30,1,2012,2,14,36,34,-86
1,10052,30,1,2012,2,8,44,32,-85
1,10053,31,1,2012,3,17,42,32,-86
1,10054,30,1,2012,2,23,30,35,-87
1,10055,14,1,2012,7,23,55,34,-86
1,10056,23,1,2012,2,18,0,33,-85
1,10057,24,1,2012,3,7,18,34,-87
1,10058,1,2,2012,4,15,0,35,-86
1,10059,1,2,2012,4,20,39,33,-88
1,10060,1,2,2012,4,14,45,32,-86
1,10061,4,2,2012,7,9,24,33,-85
1,10063,4,2,2012,7,21,50,34,-86
1,10064,6,2,2012,2,18,5,34,-87
1,10065,7,2,2012,3,23,15,35,-87
1,10066,7,2,2012,3,16,47,34,-87
1,10067,8,2,2012,4,17,50,34,-87
1,10068,8,2,2012,4,16,5,34,-87
1,10069,9,2,2012,5,5,46,35,-87
1,10070,9,2,2012,5,6,0,35,-88
1,10071,11,2,2012,7,0,50,31,-86
1,10072,2,2,2012,5,23,52,30,-88
1,10073,28,1,2012,7,22,40,33,-87
1,10074,7,2,2012,3,13,40,34,-86
1,10075,15,2,2012,4,15,48,35,-87
1,10076,18,2,2012,7,4,38,30,-88
1,10077,19,2,2012,1,17,16,32,-88
1,10078,24,2,2012,6,13,35,32,-87
1,10079,5,1,2012,5,8,44,33,-87
1,10080,16,1,2012,2,18,25,34,-86
1,10081,28,1,2012,7,6,7,32,-86
1,10082,21,1,2012,7,6,35,34,-88
1,10083,14,1,2012,7,6,27,31,-88
1,10084,4,2,2012,7,23,38,33,-87
1,10085,5,2,2012,1,7,50,31,-88
1,10086,9,2,2012,5,9,30,34,-87
1,10087,10,2,2012,6,9,32,32,-87
1,10088,11,2,2012,7,8,30,35,-87
1,10089,11,2,2012,7,3,30,33,-88
1,10090,11,2,2012,7,2,27,30,-88
1,10091,12,2,2012,1,8,0,35,-87
1,10092,13,2,2012,2,1,5,33,-87
1,10093,15,2,2012,4,18,20,34,-87
1,10094,15,2,2012,4,23,42,33,-88
1,10095,18,2,2012,7,99,99,33,-87
1,10096,18,2,2012,7,16,41,32,-87
1,10097,18,2,2012,7,13,30,34,-87
1,10098,19,2,2012,1,17,55,34,-87
1,10099,19,2,2012,1,14,35,34,-86
1,10100,20,2,2012,2,14,25,34,-87
1,10101,21,2,2012,3,14,0,34,-87
1,10102,22,2,2012,4,10,25,34,-86
1,10103,26,2,2012,1,4,5,34,-87
1,10104,12,2,2012,1,19,57,32,-86
1,10105,21,2,2012,3,11,50,32,-85
1,10106,21,2,2012,3,12,51,31,-86
1,10107,29,2,2012,4,11,50,35,-87
1,10108,9,2,2012,5,20,59,34,-86
1,10109,18,2,2012,7,7,2,31,-88
1,10110,21,2,2012,3,6,49,35,-86
1,10111,22,2,2012,4,13,20,35,-87
1,10112,26,2,2012,1,16,40,32,-86
1,10113,26,2,2012,1,0,40,33,-87
1,10114,27,2,2012,2,23,45,31,-88
1,10115,27,2,2012,2,18,15,34,-85
1,10116,16,2,2012,5,12,40,31,-88
1,10117,27,2,2012,2,10,4,33,-86
1,10119,24,2,2012,6,17,40,31,-86
1,10120,27,2,2012,2,10,25,34,-87
1,10121,8,3,2012,5,21,32,35,-88
1,10122,9,3,2012,6,22,0,31,-86
1,10123,13,3,2012,3,19,3,33,-88
1,10124,14,3,2012,4,0,3,32,-86
1,10125,22,3,2012,5,20,39,34,-87
1,10126,24,3,2012,7,9,3,33,-86
1,10127,19,2,2012,1,11,37,33,-87
1,10128,1,3,2012,5,0,1,33,-87
1,10129,2,3,2012,6,20,0,31,-87
1,10130,2,3,2012,6,13,45,33,-85
