STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10001,0,6,1,2013,1,0,55,34,-86
1,10002,1670,3,1,2013,5,21,24,34,-86
1,10003,1730,6,1,2013,1,11,45,35,-87
1,10004,350,6,1,2013,1,12,25,33,-87
1,10005,3050,6,1,2013,1,18,28,33,-88
1,10006,2100,8,1,2013,3,14,31,31,-88
1,10007,50,11,1,2013,6,21,30,34,-86
1,10008,2904,14,1,2013,2,14,49,35,-86
1,10009,0,5,1,2013,7,16,21,33,-85
1,10010,0,5,1,2013,7,17,34,33,-86
1,10011,0,5,1,2013,7,23,29,33,-86
1,10012,715,7,1,2013,2,5,44,34,-87
1,10013,9997,7,1,2013,2,7,20,34,-87
1,10014,0,7,1,2013,2,16,5,34,-86
1,10015,0,9,1,2013,4,20,0,34,-86
1,10016,0,10,1,2013,5,17,55,34,-86
1,10017,0,10,1,2013,5,5,50,33,-87
1,10018,2340,11,1,2013,6,10,21,33,-85
1,10019,1730,13,1,2013,1,6,11,35,-87
1,10020,0,14,1,2013,2,21,5,33,-87
1,10021,0,15,1,2013,3,0,5,31,-85
1,10022,0,15,1,2013,3,10,35,32,-86
1,10023,0,16,1,2013,4,18,30,33,-88
1,10024,0,16,1,2013,4,11,20,33,-87
1,10025,0,17,1,2013,5,5,50,35,-88
1,10026,0,19,1,2013,7,14,40,33,-87
1,10027,0,19,1,2013,7,22,45,32,-87
1,10028,60,28,1,2013,2,11,37,33,-86
1,10029,2190,3,1,2013,5,20,14,35,-88
1,10030,2130,8,1,2013,3,22,22,32,-86
1,10031,1730,12,1,2013,7,1,23,35,-87
1,10032,0,18,1,2013,6,22,45,32,-87
1,10033,0,19,1,2013,7,1,25,33,-86
1,10034,0,19,1,2013,7,12,45,31,-86
1,10035,0,20,1,2013,1,19,45,33,-86
1,10036,0,21,1,2013,2,2,35,32,-85
1,10037,0,22,1,2013,3,19,15,33,-87
1,10038,1730,23,1,2013,4,18,21,35,-87
1,10039,2540,25,1,2013,6,1,0,32,-86
1,10040,0,26,1,2013,7,13,15,32,-86
1,10041,0,25,1,2013,6,11,0,35,-86
1,10042,0,28,1,2013,2,13,10,34,-88
1,10043,890,30,1,2013,4,9,46,35,-87
1,10044,2355,31,1,2013,5,13,28,30,-88
1,10045,0,5,1,2013,7,13,49,34,-87
1,10046,2713,8,1,2013,3,14,18,31,-88
1,10047,0,14,1,2013,2,21,30,35,-87
1,10048,0,15,1,2013,3,12,15,34,-86
1,10049,0,20,1,2013,1,2,0,31,-88
1,10050,0,23,1,2013,4,99,99,33,-88
1,10051,1730,27,1,2013,1,14,31,35,-87
1,10052,2100,27,1,2013,1,13,25,31,-88
1,10053,830,28,1,2013,2,21,43,34,-87
1,10054,0,30,1,2013,4,13,30,34,-86
1,10055,1730,31,1,2013,5,18,9,35,-87
1,10056,0,7,1,2013,2,23,25,32,-88
1,10057,0,19,1,2013,7,0,38,31,-86
1,10058,2100,30,1,2013,4,6,5,31,-88
1,10059,0,1,2,2013,6,21,50,32,-87
1,10060,0,2,2,2013,7,21,55,34,-87
1,10061,2990,2,2,2013,7,23,41,33,-87
1,10062,0,3,2,2013,1,5,0,34,-87
1,10063,100,3,2,2013,1,22,1,34,-86
1,10064,0,4,2,2013,2,11,45,35,-86
1,10065,2720,5,2,2013,3,10,20,35,-86
1,10066,0,6,2,2013,4,20,45,35,-88
1,10067,0,6,2,2013,4,23,45,31,-88
1,10068,1730,8,2,2013,6,11,37,35,-87
1,10069,0,8,2,2013,6,16,35,32,-87
1,10070,0,9,2,2013,7,2,0,33,-88
1,10071,3050,10,2,2013,1,14,6,33,-88
1,10072,1850,13,2,2013,4,17,46,34,-87
1,10073,2550,9,2,2013,7,21,0,31,-88
1,10074,0,28,1,2013,2,18,45,34,-87
1,10075,0,18,1,2013,6,7,47,33,-88
1,10076,2170,23,1,2013,4,2,12,33,-87
1,10077,0,24,1,2013,5,11,20,33,-86
1,10078,0,25,1,2013,6,17,10,34,-87
1,10079,2260,27,1,2013,1,3,30,33,-88
1,10080,350,16,2,2013,7,5,0,34,-87
1,10081,350,5,2,2013,3,19,8,33,-87
1,10082,0,6,2,2013,4,10,0,31,-88
1,10083,1493,7,2,2013,5,17,52,30,-88
1,10084,0,8,2,2013,6,17,0,34,-86
