STATE,COUNTY,STATE_ALPHA,COUNTY_NAME,TZ_NO_DST,TZ_DST
2,13,AK,Aleutians East,-150,-135
2,16,AK,Aleutians West (CA),-150,-135
2,282,AK,Yakutat,-135,-120
2,230,AK,Skagway,-135,-120
2,105,AK,Hoonah-Angoon (CA),-135,-120
2,110,AK,Juneau,-135,-120
2,100,AK,Haines,-135,-120
2,275,AK,Wrangell,-135,-120
2,195,AK,Petersburg Borough,-135,-120
2,220,AK,Sitka,-135,-120
2,130,AK,Ketchikan Gateway,-135,-120
2,198,AK,Prince of Wales-Hyder (CA),-135,-120
2,50,AK,Bethel (CA),-135,-120
2,180,AK,Nome (CA),-135,-120
12,5,FL,Bay,-90,-75
12,13,FL,Calhoun,-90,-75
12,33,FL,Escambia,-90,-75
12,45,FL,Gulf,-90,-75
12,59,FL,Holmes,-90,-75
12,63,FL,Jackson,-90,-75
12,91,FL,Okaloosa,-90,-75
12,113,FL,Santa Rosa,-90,-75
12,131,FL,Walton,-90,-75
12,133,FL,Washington,-90,-75
16,9,ID,Benewah,-120,-105
16,17,ID,Bonner,-120,-105
16,21,ID,Boundary,-120,-105
16,35,ID,Clearwater,-120,-105
16,55,ID,Kootenai,-120,-105
16,57,ID,Latah,-120,-105
16,61,ID,Lewis,-120,-105
16,69,ID,Nez Perce,-120,-105
16,79,ID,Shoshone,-120,-105
16,49,ID,Idaho,-120,-105
18,25,IN,Crawford,-75,-60
18,27,IN,Daviess,-75,-60
18,37,IN,Dubois,-75,-60
18,83,IN,Knox,-75,-60
18,101,IN,Martin,-75,-60
18,123,IN,Perry,-90,-75
18,125,IN,Pike,-75,-60
18,149,IN,Starke,-90,-75
18,131,IN,Pulaski,-75,-60
18,155,IN,Switzerland,-75,-60
18,19,IN,Clark,-75,-60
18,43,IN,Floyd,-75,-60
18,61,IN,Harrison,-75,-60
18,29,IN,Dearborn,-75,-60
18,115,IN,Ohio,-75,-60
18,51,IN,Gibson,-90,-75
18,73,IN,Jasper,-90,-75
18,89,IN,Lake,-90,-75
18,91,IN,LaPorte,-90,-75
18,111,IN,Newton,-90,-75
18,127,IN,Porter,-90,-75
18,129,IN,Posey,-90,-75
18,147,IN,Spencer,-90,-75
18,163,IN,Vanderburgh,-90,-75
18,173,IN,Warrick,-90,-75
20,71,KS,Greeley,-105,-90
20,75,KS,Hamilton,-105,-90
20,181,KS,Sherman,-105,-90
20,199,KS,Wallace,-105,-90
21,1,KY,Adair,-90,-75
