DATE,DST_DELTA
27/10/1974,-1
23/02/1975,1
26/10/1975,-1
25/04/1976,1
31/10/1976,-1
24/04/1977,1
30/10/1977,-1
30/04/1978,1
29/10/1978,-1
29/04/1979,1
28/10/1979,-1
27/04/1980,1
26/10/1980,-1
26/04/1981,1
25/10/1981,-1
25/04/1982,1
31/10/1982,-1
24/04/1983,1
30/10/1983,-1
29/04/1984,1
28/10/1984,-1
28/04/1985,1
27/10/1985,-1
27/04/1986,1
26/10/1986,-1
05/04/1987,1
25/10/1987,-1
03/04/1988,1
30/10/1988,-1
02/04/1989,1
29/10/1989,-1
01/04/1990,1
28/10/1990,-1
07/04/1991,1
27/10/1991,-1
05/04/1992,1
25/10/1992,-1
04/04/1993,1
31/10/1993,-1
03/04/1994,1
30/10/1994,-1
02/04/1995,1
29/10/1995,-1
07/04/1996,1
27/10/1996,-1
06/04/1997,1
26/10/1997,-1
05/04/1998,1
25/10/1998,-1
04/04/1999,1
31/10/1999,-1
02/04/2000,1
29/10/2000,-1
01/04/2001,1
28/10/2001,-1
07/04/2002,1
27/10/2002,-1
06/04/2003,1
26/10/2003,-1
04/04/2004,1
31/10/2004,-1
03/04/2005,1
30/10/2005,-1
02/04/2006,1
29/10/2006,-1
11/03/2007,1
04/11/2007,-1
09/03/2008,1
02/11/2008,-1
08/03/2009,1
01/11/2009,-1
14/03/2010,1
07/11/2010,-1
13/03/2011,1
06/11/2011,-1
11/03/2012,1
04/11/2012,-1
10/03/2013,1
03/11/2013,-1
09/03/2014,1
02/11/2014,-1
08/03/2015,1
01/11/2015,-1
13/03/2016,1
06/11/2016,-1
12/03/2017,1
05/11/2017,-1
